"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Hu J.; Fan T.; Tang X.; Yang Z.; Ren Y.","Hu, Jingxuan (58850175300); Fan, Tianhui (57211002343); Tang, Xiaolan (57204198635); Yang, Zhijie (58850175200); Ren, Yujie (57204200141)","58850175300; 57211002343; 57204198635; 58850175200; 57204200141","Nonlinear relations of urban morphology to thermal anomalies: A cross-time comparative study based on Grad-CAM and SHAP","2024","Ecological Indicators","162","","112024","","","","26","10.1016/j.ecolind.2024.112024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190469918&doi=10.1016%2fj.ecolind.2024.112024&partnerID=40&md5=839c7c6c34f799692b4ba0538278448a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85190469918"
"Ren Y.; Zhou M.; Zhu A.; Shi S.; Zhu H.; Chen Y.; Li S.; Fan T.","Ren, Yujie (57204200141); Zhou, Mengdie (59460669100); Zhu, Antian (59460186300); Shi, Shucheng (59459463200); Zhu, Hao (59459709000); Chen, Yuzhu (59460669200); Li, Shanshan (59459463300); Fan, Tianhui (57211002343)","57204200141; 59460669100; 59460186300; 59459463200; 59459709000; 59460669200; 59459463300; 57211002343","Evolution, reconfiguration and low-carbon performance of green space pattern under diverse urban development scenarios: A machine learning-based simulation approach","2024","Ecological Indicators","169","","112945","","","","10","10.1016/j.ecolind.2024.112945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211165771&doi=10.1016%2fj.ecolind.2024.112945&partnerID=40&md5=dd07288e97ce33b57497d2631e04d2c5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85211165771"
"Fan T.; Chapman A.","Fan, Tianhui (57211002343); Chapman, Andrew (56896748300)","57211002343; 56896748300","Clarifying the levers of carbon emission reduction in compact cities in China: A multi-sectoral approach","2024","Sustainable Futures","7","","100200","","","","11","10.1016/j.sftr.2024.100200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192169391&doi=10.1016%2fj.sftr.2024.100200&partnerID=40&md5=00742290db4345ce3afab05167733457","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85192169391"
"Fan T.; Chapman A.","Fan, Tianhui (57211002343); Chapman, Andrew (56896748300)","57211002343; 56896748300","Policy Driven Compact Cities: Toward Clarifying the Effect of Compact Cities on Carbon Emissions","2022","Sustainability (Switzerland)","14","19","12634","","","","28","10.3390/su141912634","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139913971&doi=10.3390%2fsu141912634&partnerID=40&md5=6d3e5a04fd0e93ded05b6f0af7508643","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85139913971"
"Ren Y.; Wang X.; Fan T.","Ren, Yujie (57204200141); Wang, Xinyue (57216696459); Fan, Tianhui (57211002343)","57204200141; 57216696459; 57211002343","How does the mixed-functional land use pattern suppress the cooling capacity of urban green spaces? Evidence from China","2025","Habitat International","164","","103522","","","","9","10.1016/j.habitatint.2025.103522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011380327&doi=10.1016%2fj.habitatint.2025.103522&partnerID=40&md5=a35f574bb35034e96c2037084275ff6c","Article","Final","","Scopus","2-s2.0-105011380327"
"Fan T.; Guo N.; Ren Y.","Fan, Tianhui (57211002343); Guo, Naijing (57204196695); Ren, Yujie (57204200141)","57211002343; 57204196695; 57204200141","Consumer clusters detection with geo-tagged social network data using DBSCAN algorithm: a case study of the Pearl River Delta in China","2021","GeoJournal","86","1","","317","337","20","19","10.1007/s10708-019-10072-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072229098&doi=10.1007%2fs10708-019-10072-8&partnerID=40&md5=cb3c3fcdf92f033704aa5625ffe68146","Article","Final","","Scopus","2-s2.0-85072229098"
"Yujie R.; Tang X.; Fan T.; Kang D.","Yujie, Ren (58120373900); Tang, Xiaolan (57204198635); Fan, Tianhui (57211002343); Kang, Daxi (58120265100)","58120373900; 57204198635; 57211002343; 58120265100","Does the spatial pattern of urban blue–green space at city-level affects its cooling efficiency? Evidence from Yangtze River Economic Belt, China","2023","Landscape and Ecological Engineering","19","3","","363","379","16","20","10.1007/s11355-023-00540-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149029616&doi=10.1007%2fs11355-023-00540-2&partnerID=40&md5=d8d750213d9042de94ac1cb4b6d9887f","Article","Final","","Scopus","2-s2.0-85149029616"
"Ren Y.; Zhu H.; Fan T.","Ren, Yujie (57204200141); Zhu, Hao (59459709000); Fan, Tianhui (57211002343)","57204200141; 59459709000; 57211002343","Structure-sensitive carbon emission mechanisms in urban morphology: Grad-CAM guided nonlinear modeling and attention-based sectoral diagnosis","2026","Applied Energy","402","","127071","","","","1","10.1016/j.apenergy.2025.127071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021247791&doi=10.1016%2fj.apenergy.2025.127071&partnerID=40&md5=bfcfef38d2437617037ae36c202573c5","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021247791"
"Fan T.; Ren Y.; Chapman A.","Fan, Tianhui (57211002343); Ren, Yujie (57204200141); Chapman, Andrew (56896748300)","57211002343; 57204200141; 56896748300","Unveiling the carbon neutrality pathways of compact cities: a simulation-based scenario analysis from China","2025","Humanities and Social Sciences Communications","12","1","1205","","","","5","10.1057/s41599-025-05545-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012134614&doi=10.1057%2fs41599-025-05545-w&partnerID=40&md5=cc4e20d549a1201cb7a681f96339aad9","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105012134614"
"Ren Y.; Li X.; Si J.; Fan T.; Tang X.","Ren, Yujie (57204200141); Li, Xinyu (60010237400); Si, Jingran (60010403800); Fan, Tianhui (57211002343); Tang, Xiaolan (57204198635)","57204200141; 60010237400; 60010403800; 57211002343; 57204198635","Navigating carbon reduction in dense, multi-functional compact cities: Moderators and threshold effects of green space and aging population","2026","Environmental Impact Assessment Review","116","","108099","","","","2","10.1016/j.eiar.2025.108099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011404854&doi=10.1016%2fj.eiar.2025.108099&partnerID=40&md5=16c2ac17be239a0c4ae25f2255554943","Article","Final","","Scopus","2-s2.0-105011404854"
"Fan T.; Shen S.; Sit C.Y.B.; Kenis P.J.A.; Chapman A.","Fan, Tianhui (57211002343); Shen, Siyu (59135092900); Sit, Chun Yat (Benjamin) (59472686600); Kenis, Paul J.A. (6701733846); Chapman, Andrew (56896748300)","57211002343; 59135092900; 59472686600; 6701733846; 56896748300","Environmental, economic and social trade-offs of membrane-based direct air capture technologies integrated with CO2 conversion using life cycle assessment","2025","Journal of CO2 Utilization","91","","103002","","","","12","10.1016/j.jcou.2024.103002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212152527&doi=10.1016%2fj.jcou.2024.103002&partnerID=40&md5=93ec712c6af87945f23ae9002b6dc0e3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85212152527"
"Ren Y.; Fan T.","Ren, Yujie (57204200141); Fan, Tianhui (57211002343)","57204200141; 57211002343","Ecological land protection or carbon emission reduction? Comparing the value neutrality of mainstream policy responses to climate change","2021","Forests","12","12","1789","","","","4","10.3390/f12121789","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121612640&doi=10.3390%2ff12121789&partnerID=40&md5=3770427fdee20d7a883a8175847f5cd0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85121612640"
