"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kondo Y.; Mizobe K.; Kubota M.","Kondo, Y. (35327168500); Mizobe, K. (55649570543); Kubota, M. (7401665066)","35327168500; 55649570543; 7401665066","Effects of hydrogen concentration, specimen thickness and loading frequency on the hydrogen enhanced crack propagation of low alloy steel","2011","Key Engineering Materials","465","","","519","522","3","0","10.4028/www.scientific.net/KEM.465.519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952853578&doi=10.4028%2fwww.scientific.net%2fKEM.465.519&partnerID=40&md5=5e8f66d0f30f85cdb3d3ab35c6e03ee0","Conference paper","Final","","Scopus","2-s2.0-79952853578"
"Kubota M.; Kataoka S.; Kondo Y.","Kubota, Masanobu (7401665066); Kataoka, Shunsuke (22979937000); Kondo, Yoshiyuki (35327168500)","7401665066; 22979937000; 35327168500","Effect of stress relief groove on fretting fatigue strength and index for the selection of optimal groove shape","2009","International Journal of Fatigue","31","3","","439","446","7","40","10.1016/j.ijfatigue.2008.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56349085008&doi=10.1016%2fj.ijfatigue.2008.07.007&partnerID=40&md5=d476a762916eba23a9c3664ba80f310f","Article","Final","","Scopus","2-s2.0-56349085008"
"Kondo Y.; Kubota M.; Shishime K.; Yamaguchi J.-I.","Kondo, Yoshiyuki (35327168500); Kubota, Masanobu (7401665066); Shishime, Keiko (23478738900); Yamaguchi, Jun-Ichiro (25959417000)","35327168500; 7401665066; 23478738900; 25959417000","Effect of absorbed hydrogen on the near threshold fatigue crack growth behavior of short crack (examination on low alloy steel, carbon steel and heat resistant alloy A286)","2008","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","74","10","","1366","1372","6","9","10.1299/kikaia.74.1366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58249122518&doi=10.1299%2fkikaia.74.1366&partnerID=40&md5=c707b79d05f50e9cc475d1627609a947","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-58249122518"
"Hosseini Z.S.; Dadfarnia M.; Nagao A.; Kubota M.; Somerday B.P.; Ritchie R.O.; Sofronis P.","Hosseini, Zahra S. (57214287432); Dadfarnia, Mohsen (6602919061); Nagao, Akihide (7005739765); Kubota, Masanobu (7401665066); Somerday, Brian P. (6603379415); Ritchie, Robert O. (55123574900); Sofronis, Petros (7003666624)","57214287432; 6602919061; 7005739765; 7401665066; 6603379415; 55123574900; 7003666624","Modeling the Hydrogen Effect on the Constitutive Response of a Low Carbon Steel in Cyclic Loading","2021","Journal of Applied Mechanics, Transactions ASME","88","3","031001","","","","6","10.1115/1.4049076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097643150&doi=10.1115%2f1.4049076&partnerID=40&md5=2dd1ef87a9474c1f4d79a97d5524ed76","Article","Final","","Scopus","2-s2.0-85097643150"
"Nguyen L.T.H.; Edalati K.; Kshitij V.; Dadfarnia M.; Staykov A.; Tsuchiyama T.; Kubota M.; Matsunaga H.; Krogstad J.A.; Sofronis P.","Nguyen, Linh Thi Hoai (59865689600); Edalati, Kaveh (55885177300); Kshitij, Vijayvargia (60320874500); Dadfarnia, Mohsen (6602919061); Staykov, Aleksandar (16053634300); Tsuchiyama, Toshihiro (7005302655); Kubota, Masanobu (7401665066); Matsunaga, Hisao (7202181027); Krogstad, Jessica Anne (37110988700); Sofronis, Petros (7003666624)","59865689600; 55885177300; 60320874500; 6602919061; 16053634300; 7005302655; 7401665066; 7202181027; 37110988700; 7003666624","Assessing machine learning predictions of austenitic steel compositions for optimum mechanical response","2026","Materials Science and Engineering: A","953","","149714","","","","1","10.1016/j.msea.2025.149714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027106461&doi=10.1016%2fj.msea.2025.149714&partnerID=40&md5=5f0e23b2e6385822f0275005d9755939","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105027106461"
"Kubota M.; Shiraishi Y.; Komoda R.; Kondo Y.; Furtado J.","Kubota, Masanobu (7401665066); Shiraishi, Yuki (56311312100); Komoda, Ryosuke (55791262500); Kondo, Yoshiyuki (56072489200); Furtado, Jader (24467850700)","7401665066; 56311312100; 55791262500; 56072489200; 24467850700","Considering the mechanisms causing reduction of fretting fatigue strength by hydrogen","2012","19th European Conference on Fracture: Fracture Mechanics for Durability, Reliability and Safety, ECF 2012","","","","","","","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127275125&partnerID=40&md5=56310dee4c7ced3d15e44643d9f80b9a","Conference paper","Final","","Scopus","2-s2.0-85127275125"
"Kubota M.; Miyazawa K.; Miwa M.; Tashiro A.; Aoki T.; Kondo Y.","Kubota, Masanobu (7401665066); Miyazawa, Kanetaka (54931542500); Miwa, Masato (57206227501); Tashiro, Akihiro (57217573244); Aoki, Tatsuro (54930593400); Kondo, Yoshiyuki (35327168500)","7401665066; 54931542500; 57206227501; 57217573244; 54930593400; 35327168500","Improvement of torsional fretting fatigue strength of splined shaft used for car air conditioner's compressor by hybrid joint","2011","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","77","773","","208","217","9","0","10.1299/kikaia.77.208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856326801&doi=10.1299%2fkikaia.77.208&partnerID=40&md5=61b49ebb9b3b688442f584ae751c846f","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84856326801"
"Kubota M.; Adachi Y.; Kondo Y.","Kubota, Masanobu (7401665066); Adachi, Yutaro (55233962900); Kondo, Yoshiyuki (35327168500)","7401665066; 55233962900; 35327168500","Observation of surface damage in a valve for hydrogen gas and leakage conditions","2012","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","78","789","","674","678","4","0","10.1299/kikaia.78.674","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861619042&doi=10.1299%2fkikaia.78.674&partnerID=40&md5=7956f622730ded359c9e96cb39e6155a","Conference paper","Final","","Scopus","2-s2.0-84861619042"
"Kubota M.; Komoda R.; Nakamura Y.","Kubota, Masanobu (7401665066); Komoda, Ryosuke (55791262500); Nakamura, Yuki (57766494600)","7401665066; 55791262500; 57766494600","Improvement of fretting fatigue strength by carbon monoxide and catalyst activation under chemomechanical effects of fretting","2022","Theoretical and Applied Fracture Mechanics","121","","103460","","","","2","10.1016/j.tafmec.2022.103460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132882494&doi=10.1016%2fj.tafmec.2022.103460&partnerID=40&md5=4153d17037e886e9149a750bb2346618","Article","Final","","Scopus","2-s2.0-85132882494"
"Kubota M.; Fukuda M.; Komoda R.","Kubota, Masanobu (7401665066); Fukuda, Mio (57209855290); Komoda, Ryosuke (55791262500)","7401665066; 57209855290; 55791262500","Effect of Hydrogen on Fatigue Limit of SCM435 Low-Alloy Steel","2019","Procedia Structural Integrity","19","","","520","527","7","7","10.1016/j.prostr.2019.12.056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081612366&doi=10.1016%2fj.prostr.2019.12.056&partnerID=40&md5=7953d66f2051add389f51e766f05586e","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85081612366"
