"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Song J.T.; Nanke M.; Takaoka Y.; Fujimoto Y.; Watanabe M.; Inada M.; Ishihara T.","Song, Jun Tae (57191998334); Nanke, Mizuki (60239453700); Takaoka, Yuta (58000865200); Fujimoto, Yoshiki (60017897200); Watanabe, Motonori (55624482273); Inada, Miki (57216694301); Ishihara, Tatsumi (7402144741)","57191998334; 60239453700; 58000865200; 60017897200; 55624482273; 57216694301; 7402144741","Zeolitic Imidazolate Framework (ZIF)-derived Fe-Co-N-C catalysts as high-performance cathodes for rechargeable zinc-air batteries","2026","Applied Catalysis A: General","709","","120639","","","","1","10.1016/j.apcata.2025.120639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029824827&doi=10.1016%2fj.apcata.2025.120639&partnerID=40&md5=eb04e132d0b5f7273bbc83cbab319055","Article","Final","","Scopus","2-s2.0-105029824827"
"Shimada J.; Takaoka Y.; Ueda T.; Tani A.; Sugahara T.; Tsunashima K.; Yamada H.; Hirai T.","Shimada, Jin (57195068508); Takaoka, Yuta (58000865200); Ueda, Takahiro (7403982331); Tani, Atsushi (7102420819); Sugahara, Takeshi (56212469300); Tsunashima, Katsuhiko (16067578200); Yamada, Hirohisa (37105529000); Hirai, Takayuki (7402768651)","57195068508; 58000865200; 7403982331; 7102420819; 56212469300; 16067578200; 37105529000; 7402768651","Proton conduction in tetra-n-butylammonium bromide semiclathrate hydrate","2023","Solid State Ionics","393","","116188","","","","4","10.1016/j.ssi.2023.116188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149387469&doi=10.1016%2fj.ssi.2023.116188&partnerID=40&md5=fcf77da9c229c061a5a7fb984c2855f4","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85149387469"
"Takaoka Y.; Song J.T.; Watanabe M.; Inada M.; Ishihara T.","Takaoka, Yuta (58000865200); Song, Jun Tae (57191998334); Watanabe, Motonori (55624482273); Inada, Miki (57216694301); Ishihara, Tatsumi (7402144741)","58000865200; 57191998334; 55624482273; 57216694301; 7402144741","Corrigendum to “Controlling CO/H2selectivity in CO2electrolysis via Ni-Co coordinated nitrogen-doped carbon in various pH conditions” [Appl. Catalysis A: general 707 (2025) 120502 / 0926-860X]","2025","Applied Catalysis A: General","708","","120561","","","","0","10.1016/j.apcata.2025.120561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027010001&doi=10.1016%2fj.apcata.2025.120561&partnerID=40&md5=142df62b0e3b457356153e8c6eb31da6","Erratum","Final","","Scopus","2-s2.0-105027010001"
"Jung Y.; Abbas H.G.; Kim S.; Kim B.; Cho J.; Han S.; Song H.; Takaoka Y.; Song J.T.; Ishihara T.; Choi C.H.; Ringe S.; Oh J.","Jung, Yujin (56290473900); Abbas, Hafiz Ghulam (57201468767); Kim, Soeun (60160736300); Kim, Beomil (57207771924); Cho, Junsic (58069553200); Han, Sunghoon (57224458095); Song, Hakhyeon (57195630573); Takaoka, Yuta (58000865200); Song, Jun Tae (57191998334); Ishihara, Tatsumi (7402144741); Choi, Chang Hyuck (59683355400); Ringe, Stefan (57190580988); Oh, Jihun (56330685800)","56290473900; 57201468767; 60160736300; 57207771924; 58069553200; 57224458095; 57195630573; 58000865200; 57191998334; 7402144741; 59683355400; 57190580988; 56330685800","Understanding Electrochemical CO2Reduction Selectivity of Cu Binary Alloys from Electronic Structure Descriptors","2025","Journal of the American Chemical Society","147","43","","39796","39804","8","13","10.1021/jacs.5c14093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020031704&doi=10.1021%2fjacs.5c14093&partnerID=40&md5=32832bc231456d75d969cac7c70c917d","Article","Final","","Scopus","2-s2.0-105020031704"
"Shimada J.; Shimada M.; Sugahara T.; Tsunashima K.; Takaoka Y.; Tani A.","Shimada, Jin (57195068508); Shimada, Masami (57203865558); Sugahara, Takeshi (56212469300); Tsunashima, Katsuhiko (16067578200); Takaoka, Yuta (58000865200); Tani, Atsushi (7102420819)","57195068508; 57203865558; 56212469300; 16067578200; 58000865200; 7102420819","Phase equilibrium temperature and dissociation enthalpy in the tri-n-butylalkylphosphonium bromide semiclathrate hydrate systems","2021","Chemical Engineering Science","236","","116514","","","","15","10.1016/j.ces.2021.116514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101154275&doi=10.1016%2fj.ces.2021.116514&partnerID=40&md5=63d036b3837e605e6375dba85f446da5","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85101154275"
"Song J.T.; Nanke M.; Takaoka Y.; Fujimoto Y.; Watanabe M.; Inada M.; Ishihara T.","Song, Jun Tae (57191998334); Nanke, Mizuki (60239453700); Takaoka, Yuta (58000865200); Fujimoto, Yoshiki (60017897200); Watanabe, Motonori (55624482273); Inada, Miki (57216694301); Ishihara, Tatsumi (7402144741)","57191998334; 60239453700; 58000865200; 60017897200; 55624482273; 57216694301; 7402144741","Corrigendum to “Zeolitic Imidazolate Framework (ZIF)-derived Fe-Co-N-C catalysts as high-performance cathodes for rechargeable zinc-air batteries” [Appl. Catal. A: Gen., 709 (2026) 120639/ 0926-860X]","2026","Applied Catalysis A: General","","","120985","","","","0","10.1016/j.apcata.2026.120985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105036668126&doi=10.1016%2fj.apcata.2026.120985&partnerID=40&md5=c24e643aaf8a0e05e7cce604085e7d1e","Erratum","Article in press","","Scopus","2-s2.0-105036668126"
"Takaoka Y.; Song J.T.; Watanabe M.; Inada M.; Ishihara T.","Takaoka, Yuta (58000865200); Song, Jun Tae (57191998334); Watanabe, Motonori (55624482273); Inada, Miki (57216694301); Ishihara, Tatsumi (7402144741)","58000865200; 57191998334; 55624482273; 57216694301; 7402144741","Corrigendum to “Controlling CO/H2 selectivity in CO2 electrolysis via Ni-Co coordinated nitrogen-doped carbon in various pH conditions” [Appl. Catal. A: Gen. 707 (2025) 120502/0926-860X]","2026","Applied Catalysis A: General","","","120984","","","","0","10.1016/j.apcata.2026.120984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105036727642&doi=10.1016%2fj.apcata.2026.120984&partnerID=40&md5=55e73b3a44aabbbb81b9e541bd298be5","Erratum","Article in press","","Scopus","2-s2.0-105036727642"
"Jinguji K.; Watanabe M.; Morita R.; Takaoka Y.; Hossain M.S.; Song J.T.; Takagaki A.; Matsuda J.; Ishihara T.","Jinguji, Kaito (58631419400); Watanabe, Motonori (55624482273); Morita, Ryono (58631335700); Takaoka, Yuta (58000865200); Hossain, Md. Sharif (57195362732); Song, Jun Tae (57191998334); Takagaki, Atsushi (6507361403); Matsuda, Junko (24367085400); Ishihara, Tatsumi (7402144741)","58631419400; 55624482273; 58631335700; 58000865200; 57195362732; 57191998334; 6507361403; 24367085400; 7402144741","Visible light driven hydrogen peroxide production by oxygen and phosphorus co-doped CoP-C3N4 photocatalyst","2024","Catalysis Today","426","","114400","","","","19","10.1016/j.cattod.2023.114400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173188439&doi=10.1016%2fj.cattod.2023.114400&partnerID=40&md5=bdf6ba3e16df3df3e214b24ca7239c56","Article","Final","","Scopus","2-s2.0-85173188439"
"Takaoka Y.; Song J.T.; Takagaki A.; Watanabe M.; Ishihara T.","Takaoka, Yuta (58000865200); Song, Jun Tae (57191998334); Takagaki, Atsushi (6507361403); Watanabe, Motonori (55624482273); Ishihara, Tatsumi (7402144741)","58000865200; 57191998334; 6507361403; 55624482273; 7402144741","Bi/UiO-66-derived electrocatalysts for high CO2-to-formate conversion rate","2023","Applied Catalysis B: Environmental","326","","122400","","","","31","10.1016/j.apcatb.2023.122400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146874076&doi=10.1016%2fj.apcatb.2023.122400&partnerID=40&md5=80b7897251e793b32ba5d559bcd63e2d","Article","Final","","Scopus","2-s2.0-85146874076"
"Takaoka Y.; Choi E.; Kim H.-Y.; Song J.T.; Kim H.S.; Watanabe M.; Inada M.; Ishihara T.","Takaoka, Yuta (58000865200); Choi, Euiyoung (59699501200); Kim, Hyo-Young (57212559534); Song, Jun Tae (57191998334); Kim, Han Seul (59904904900); Watanabe, Motonori (55624482273); Inada, Miki (57216694301); Ishihara, Tatsumi (7402144741)","58000865200; 59699501200; 57212559534; 57191998334; 59904904900; 55624482273; 57216694301; 7402144741","Bi–Zr-Modulated CO2 Microenvironment Enables High-Rate CO2 Electroreduction","2025","ChemSusChem","18","23","e202501024","","","","1","10.1002/cssc.202501024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014755174&doi=10.1002%2fcssc.202501024&partnerID=40&md5=7c1618f6ff0c5592eb10c0c61ac08fa8","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105014755174"
"Takaoka Y.; Song J.T.; Watanabe M.; Inada M.; Ishihara T.","Takaoka, Yuta (58000865200); Song, Jun Tae (57191998334); Watanabe, Motonori (55624482273); Inada, Miki (57216694301); Ishihara, Tatsumi (7402144741)","58000865200; 57191998334; 55624482273; 57216694301; 7402144741","Controlling CO/H2 selectivity in CO2 electrolysis via Ni-Co coordinated nitrogen-doped carbon in various pH conditions","2025","Applied Catalysis A: General","707","","120502","","","","0","10.1016/j.apcata.2025.120502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013487665&doi=10.1016%2fj.apcata.2025.120502&partnerID=40&md5=d3986660efa1f1a6dd723576d0e5124b","Article","Final","","Scopus","2-s2.0-105013487665"
