"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Shen X.-F.; Watanabe M.; Takagaki A.; Song J.T.; Abe T.; Kawaguchi D.; Tanaka K.; Ishihara T.","Shen, Xiao-Feng (57698849600); Watanabe, Motonori (55624482273); Takagaki, Atsushi (6507361403); Song, Jun Tae (57191998334); Abe, Tatsuki (57205139764); Kawaguchi, Daisuke (6701755479); Tanaka, Keiji (55741556200); Ishihara, Tatsumi (7402144741)","57698849600; 55624482273; 6507361403; 57191998334; 57205139764; 6701755479; 55741556200; 7402144741","Pyridyl anchoring squaraine as a near-infrared dye sensitizer for effective sensitized hydrogen production over a titanium dioxide photocatalyst in water medium","2023","Applied Physics A: Materials Science and Processing","129","1","28","","","","4","10.1007/s00339-022-06281-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143802435&doi=10.1007%2fs00339-022-06281-7&partnerID=40&md5=d9446a4f1e7905c8b06a1c4e8cb8ed8d","Article","Final","","Scopus","2-s2.0-85143802435"
"Shen X.-F.; Watanabe M.; Song J.T.; Takagaki A.; Abe T.; Tanaka K.; Ishihara T.","Shen, Xiao-Feng (57698849600); Watanabe, Motonori (55624482273); Song, Jun Tae (57191998334); Takagaki, Atsushi (6507361403); Abe, Tatsuki (57205139764); Tanaka, Keiji (55741556200); Ishihara, Tatsumi (7402144741)","57698849600; 55624482273; 57191998334; 6507361403; 57205139764; 55741556200; 7402144741","The acceleration of BODIPY dye-sensitized photocatalytic hydrogen production in aqueous ascorbic acid solutions using alkyl-chain formed second coordination sphere effects","2023","Journal of Materials Chemistry A","11","39","","21153","21160","7","7","10.1039/d3ta03682k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172988508&doi=10.1039%2fd3ta03682k&partnerID=40&md5=927a22b8940da3e021322296e16eefe4","Article","Final","","Scopus","2-s2.0-85172988508"
"Edalati P.; Shen X.-F.; Watanabe M.; Ishihara T.; Arita M.; Fuji M.; Edalati K.","Edalati, Parisa (57212271377); Shen, Xiao-Feng (57698849600); Watanabe, Motonori (55624482273); Ishihara, Tatsumi (7402144741); Arita, Makoto (55498668300); Fuji, Masayoshi (56231681000); Edalati, Kaveh (55885177300)","57212271377; 57698849600; 55624482273; 7402144741; 55498668300; 56231681000; 55885177300","High-entropy oxynitride as a low-bandgap and stable photocatalyst for hydrogen production","2021","Journal of Materials Chemistry A","9","26","","15076","15086","10","134","10.1039/d1ta03861c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109209632&doi=10.1039%2fd1ta03861c&partnerID=40&md5=6de2915d1cd9a741350c52df3363123d","Article","Final","","Scopus","2-s2.0-85109209632"
"Watanabe M.; Ono Y.; Shen X.-F.; Takagaki A.; Song J.T.; Chang Y.J.; Inada M.; Ishihara T.","Watanabe, Motonori (55624482273); Ono, Yuka (57742832000); Shen, Xiao-Feng (57698849600); Takagaki, Atsushi (6507361403); Song, Jun Tae (57191998334); Chang, Yuan Jay (37006458100); Inada, Miki (57216694301); Ishihara, Tatsumi (7402144741)","55624482273; 57742832000; 57698849600; 6507361403; 57191998334; 37006458100; 57216694301; 7402144741","Anchor effect in photocatalytic water splitting using boron dipyrromethene-sensitizing dyes","2025","Journal of the Chinese Chemical Society","72","10","","1229","1237","8","0","10.1002/jccs.70098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018311905&doi=10.1002%2fjccs.70098&partnerID=40&md5=964d896a3aa57ffd6ccc76c40de9ffcc","Article","Final","","Scopus","2-s2.0-105018311905"
"Shang J.; Kosem N.; Kayo Y.; Shen X.-F.; Matsuyama S.; Watanabe M.; Inada M.; Ishihara T.; Staykov A.","Shang, Juan (57206935039); Kosem, Nuttavut (6506830400); Kayo, Yasuhiro (60139679900); Shen, Xiao-Feng (57698849600); Matsuyama, Sayo (60139489400); Watanabe, Motonori (55624482273); Inada, Miki (57216694301); Ishihara, Tatsumi (7402144741); Staykov, Aleksandar (16053634300)","57206935039; 6506830400; 60139679900; 57698849600; 60139489400; 55624482273; 57216694301; 7402144741; 16053634300","Improved charge transfer performance of eosin Y-sensitized anatase TiO2 by anchoring group modification: from theoretical design to experiment","2025","Journal of Materials Chemistry A","","","","","","","3","10.1039/d5ta05712d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018703718&doi=10.1039%2fd5ta05712d&partnerID=40&md5=1c5a981f13d5c5a018b53f44749c1929","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105018703718"
"Li H.; Shen X.-F.; Lin Y.-S.; Lin Y.H.; Chen N.-H.; Hung Y.-T.; Watanabe M.; Chang Y.J.","Li, Hsin (57221606298); Shen, Xiao-Feng (57698849600); Lin, Ying-Sheng (57211607900); Lin, Yu Hsuan (57837046000); Chen, Nai-Hwa (58415671800); Hung, Yu-Tong (59315070300); Watanabe, Motonori (55624482273); Chang, Yuan Jay (37006458100)","57221606298; 57698849600; 57211607900; 57837046000; 58415671800; 59315070300; 55624482273; 37006458100","Sensitizers D-A1-A2-π-A Include 10'H-Spiro[fluorene-9,9'-Phenanthren].Benzo[c] and -10'-one.[ 1, 2, 5]Thiadiazole for Photocatalytic Hydrogen Production and Dye-Sensitized Solar Cells","2024","2024 31st International Workshop on Active-Matrix Flatpanel Displays and Devices, AM-FPD 2024","","","","127","130","3","0","10.23919/AM-FPD61635.2024.10615532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203200726&doi=10.23919%2fAM-FPD61635.2024.10615532&partnerID=40&md5=0cb8aaf66d779ad37be208e29b57e2f7","Conference paper","Final","","Scopus","2-s2.0-85203200726"
"Sharif H.M.; Shen X.-F.; Watanabe M.","Sharif, Hossain Md. (59225647100); Shen, Xiao-Feng (57698849600); Watanabe, Motonori (55624482273)","59225647100; 57698849600; 55624482273","The effect of hydrophobicity of ruthenium complex dyes on photocatalytic water electrolysis","2024","Applied Physics A: Materials Science and Processing","130","8","569","","","","0","10.1007/s00339-024-07730-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199094820&doi=10.1007%2fs00339-024-07730-1&partnerID=40&md5=530239924d93ac542f461d761ea77711","Article","Final","","Scopus","2-s2.0-85199094820"
"Morita R.; Murakami Y.; Shen X.-F.; Yang D.; Watanabe M.; Song J.T.; Takagaki A.; Ishihara T.","Morita, Ryono (58631335700); Murakami, Yasushi (57330260300); Shen, Xiao-Feng (57698849600); Yang, Dengyao (57195606450); Watanabe, Motonori (55624482273); Song, Jun Tae (57191998334); Takagaki, Atsushi (6507361403); Ishihara, Tatsumi (7402144741)","58631335700; 57330260300; 57698849600; 57195606450; 55624482273; 57191998334; 6507361403; 7402144741","Enhanced charge mediator properties of photocatalysts with reduced graphene nanoribbons for photocatalytic acceleration of hydrogen production in aqueous media","2023","Journal of Materials Chemistry C","12","5","","1652","1660","8","4","10.1039/d3tc03622g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181826826&doi=10.1039%2fd3tc03622g&partnerID=40&md5=8702f8d5f17f1eba43c4ccf7c1d4d1d1","Article","Final","","Scopus","2-s2.0-85181826826"
"Yang D.; Li H.; Shen X.; Watanabe M.; Ishihara T.","Yang, Dengyao (57195606450); Li, Huan (57192709032); Shen, Xiaofeng (57698849600); Watanabe, Motonori (55624482273); Ishihara, Tatsumi (7402144741)","57195606450; 57192709032; 57698849600; 55624482273; 7402144741","Solvated Structure of Hybrid Tetraglyme-Aqueous Electrolyte Dissolving High-Concentration LiTFSI-LiFSI for Dual-Ion Battery","2023","ChemSusChem","16","4","e202201805","","","","8","10.1002/cssc.202201805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143513844&doi=10.1002%2fcssc.202201805&partnerID=40&md5=21b87800f4fe78d91e1a57fe65e32982","Article","Final","","Scopus","2-s2.0-85143513844"
"Li H.; Shen X.-F.; Lin Y.-S.; Lin Y.H.; Hung Y.-T.; Chen N.-H.; Watanabe M.; Chang Y.J.","Li, Hsin (57221606298); Shen, Xiao-Feng (57698849600); Lin, Ying-Sheng (57211607900); Lin, Yu Hsuan (57837046000); Hung, Yu-Tong (59315070300); Chen, Nai-Hwa (58415671800); Watanabe, Motonori (55624482273); Chang, Yuan Jay (37006458100)","57221606298; 57698849600; 57211607900; 57837046000; 59315070300; 58415671800; 55624482273; 37006458100","Enhancing DSSCs and Photocatalytic Hydrogen Production with D-A1-A2-π-A Sensitizers Containing 10′H-Spiro [Fluorene-9,9′-Phenanthren]-10′-one and Benzo[c][1,2,5]Thiadiazole","2024","Chemistry - An Asian Journal","19","19","e202400697","","","","3","10.1002/asia.202400697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205563874&doi=10.1002%2fasia.202400697&partnerID=40&md5=948e3d63dd9f84f90a9b55aa26caef30","Article","Final","","Scopus","2-s2.0-85205563874"
