"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang T.; Li Z.; Zhang Z.; Chen Y.; Sun X.","Zhang, Taoyuan (58118472000); Li, Zao (7409074719); Zhang, Zihuan (58561662300); Chen, Yulu (57716354100); Sun, Xia (57219050390)","58118472000; 7409074719; 58561662300; 57716354100; 57219050390","Machine learning-based energy consumption models for rural housing envelope retrofits incorporating uncertainty: A case study in Jiaxian, China","2025","Case Studies in Thermal Engineering","72","","106253","","","","2","10.1016/j.csite.2025.106253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006811722&doi=10.1016%2fj.csite.2025.106253&partnerID=40&md5=088a30c81a6cba475e57c37c8746674b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105006811722"
"He Y.; Yu H.; Chen Y.; Meng E.","He, Yang (59420986900); Yu, Hang (39462325100); Chen, Yulu (57716354100); Meng, Erlin (41561864000)","59420986900; 39462325100; 57716354100; 41561864000","RESEARCH STATUS AND PROSPECT OF PHOTOVOLTAIC-GREEN ROOF; [光伏-绿化复合屋面的研究现状与展望]","2024","Taiyangneng Xuebao/Acta Energiae Solaris Sinica","45","9","","251","258","7","0","10.19912/j.0254-0096.tynxb.2023-0837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205955683&doi=10.19912%2fj.0254-0096.tynxb.2023-0837&partnerID=40&md5=a2ce017152e08655600308b8cae97487","Article","Final","","Scopus","2-s2.0-85205955683"
"Chen Y.; Ozaki A.; Lee H.; Choi Y.; Arima Y.","Chen, Yulu (57716354100); Ozaki, Akihito (7103207824); Lee, Haksung (57195295375); Choi, Younhee (57202136094); Arima, Yukuse (60416128400)","57716354100; 7103207824; 57195295375; 57202136094; 60416128400","Evaluation of dehumidification and energy-saving effects for a passive dehumidification system combined with energy recovery ventilation","2025","E3S Web of Conferences","672","","03022","","","","0","10.1051/e3sconf/202567203022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031064896&doi=10.1051%2fe3sconf%2f202567203022&partnerID=40&md5=50c60a35ef513938e6c4baa7a6e3d2ca","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031064896"
"He Y.; Duan Z.; Song M.; Dai M.; Zhang X.; Chen Y.; Li C.; Xu L.; Lu Y.; Tan C.L.; Liu J.","He, Yang (59420986900); Duan, Zhicheng (60515359800); Song, Mengjie (60515724200); Dai, Mengmeng (59723037600); Zhang, Xi (60516453700); Chen, Yulu (57716354100); Li, Chaoen (55988734400); Xu, Lei (60515359900); Lu, Yijun (57930262600); Tan, Chun Liang (37087871400); Liu, Jianlin (56504260100)","59420986900; 60515359800; 60515724200; 59723037600; 60516453700; 57716354100; 55988734400; 60515359900; 57930262600; 37087871400; 56504260100","Thermal and energy saving performance of photovoltaic-green roof: An experimental and modeling study in hot summer and cold winter area","2026","Energy and Buildings","359","","117307","","","","2","10.1016/j.enbuild.2026.117307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033055425&doi=10.1016%2fj.enbuild.2026.117307&partnerID=40&md5=22800408390e513301ee42cd6a842b6b","Article","Final","","Scopus","2-s2.0-105033055425"
"Chen Y.; Ozaki A.; Lee H.; Li Z.","Chen, Yulu (57716354100); Ozaki, Akihito (7103207824); Lee, Haksung (57195295375); Li, Zao (7409074719)","57716354100; 7103207824; 57195295375; 7409074719","Experimental and numerical investigation of a roof-integrated solar heating and humidity control system","2026","Building and Environment","287","","113850","","","","2","10.1016/j.buildenv.2025.113850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019501399&doi=10.1016%2fj.buildenv.2025.113850&partnerID=40&md5=04d9ada09e4f1aa9778578b1759a0348","Article","Final","","Scopus","2-s2.0-105019501399"
"Chen Y.; Lee H.; Ozaki A.; Choi Y.; Arima Y.","Chen, Yulu (57716354100); Lee, Haksung (57195295375); Ozaki, Akihito (7103207824); Choi, Younhee (57202136094); Arima, Yusuke (12545856200)","57716354100; 57195295375; 7103207824; 57202136094; 12545856200","Experimental and numerical investigation of integrating energy recovery ventilation into a thermodynamic-potential-based passive dehumidification system using renewable energy","2024","Energy","289","","129888","","","","8","10.1016/j.energy.2023.129888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180957392&doi=10.1016%2fj.energy.2023.129888&partnerID=40&md5=078380843411bda3fd49f5b2d8ebf848","Article","Final","","Scopus","2-s2.0-85180957392"
"Chen Y.; Ozaki A.; Lee H.","Chen, Yulu (57716354100); Ozaki, Akihito (7103207824); Lee, Haksung (57195295375)","57716354100; 7103207824; 57195295375","Development and Field Performance Evaluation of a Novel Passive Dehumidification System","2023","Environmental Science and Engineering","","","","561","570","9","0","10.1007/978-981-19-9822-5_60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172729098&doi=10.1007%2f978-981-19-9822-5_60&partnerID=40&md5=15ee77eb7bc243fee58c67cb40228e2c","Conference paper","Final","","Scopus","2-s2.0-85172729098"
"Chen Y.; Ozaki A.; Li Z.; Lee H.","Chen, Yulu (57716354100); Ozaki, Akihito (7103207824); Li, Zao (7409074719); Lee, Haksung (57195295375)","57716354100; 7103207824; 7409074719; 57195295375","Field experimental investigation of an improved integrated solar collection humidity control and energy recovery ventilation system","2026","Building and Environment","299","","114699","","","","0","10.1016/j.buildenv.2026.114699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105038239401&doi=10.1016%2fj.buildenv.2026.114699&partnerID=40&md5=b326bcc279f5a2d66a8eb2d446d2649c","Article","Final","","Scopus","2-s2.0-105038239401"
"Chen Y.; Lee H.; Ozaki A.; Choi Y.; Arima Y.","Chen, Yulu (57716354100); Lee, Haksung (57195295375); Ozaki, Akihito (7103207824); Choi, Younhee (57202136094); Arima, Yusuke (12545856200)","57716354100; 57195295375; 7103207824; 57202136094; 12545856200","An integrated passive dehumidification system with energy recovery ventilation: A comprehensive simulation study","2024","Applied Thermal Engineering","243","","122553","","","","15","10.1016/j.applthermaleng.2024.122553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184483506&doi=10.1016%2fj.applthermaleng.2024.122553&partnerID=40&md5=7056d8785c88bd1c4a090fcc6427672e","Article","Final","","Scopus","2-s2.0-85184483506"
"Chen Y.; Ozaki A.; Lee H.","Chen, Yulu (57716354100); Ozaki, Akihito (7103207824); Lee, Haksung (57195295375)","57716354100; 7103207824; 57195295375","Energy saving potential of passive dehumidification system combined with energy recovery ventilation using renewable energy","2022","Energy and Buildings","268","","112170","","","","33","10.1016/j.enbuild.2022.112170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130906284&doi=10.1016%2fj.enbuild.2022.112170&partnerID=40&md5=8e0af682bebe07d64b2d6ab28a4844dc","Article","Final","","Scopus","2-s2.0-85130906284"
